from_address,Total_value,Wallet_Tier
0xd26b0680865b6b6dba60eddab429f2060604e1bf,0.15,Fish
0x513520cd63073f361e96b0d691f4a6c9dfbdeb97,0.2,Fish
0x18db11ec56067c64f9f088effb3be1256487e6d9,0.64,Fish
0x57dea94a97d76c278fa19797a11318e85a5e23f2,1.45,Fish
0x623a531ff3d1a3ce2b4504bea623eb705c8669b7,0.95,Fish
0xa7c37e9472f75d548ef264a2bb4a799cd8b4518a,9.02,Fish
0x80ea93bdac5a48d8abbb9ff7825901da63d01b75,7.78,Fish
0x82c75eeadb7f391a6f77f11b4e0e9edaa85706fe,0.24,Fish
0x8bd9c4b5ea8f6f14c9b14d830ddb67f3720d77f6,37.83,Fish
0x89668139f84ac5e091d26048399f1aac4019e32f,0.15,Fish
0x2e903d666b07e26dfb73382a068b5c7c9392132c,57.92,Fish
0xf617e893aaced3a6b1530e3e4b9d771c5c3c160b,0.34,Fish
0x521a91b3669b1bc610b323b63389c476ef8cec5d,3.3,Fish
0x726919549c9e208bc014cb9b5c13b82dfcfd40cd,0.43,Fish
0x5f718f538e5abe78d86281f55fbe2e94e19602e9,5.63,Fish
0x1f6e38e5e025bd17a1fb8568141604b99ac6181e,0.57,Fish
0x91567469b6a7de182a6fecf5013b7e4a556e1040,13.09,Fish
0x1122090627b3bc98f2a1c5f1eb1ef78d7628f7ac,0.91,Fish
0xe98a949d92dce01188a6c4c40ecca580f2828ea1,0.44,Fish
0xce6ac0ecfabb2db8857ad472df70a8532f17a5bf,0.35,Fish
0xff2b8a4f816578606208709f1ca952292598c0aa,0.14,Fish
0x717e23fb7d57a5e7277ecd3a786edd26b1e7f944,1.79,Fish
0x0911ac6cd2762231573233bdc837dc8e2e6dbcd1,0.16,Fish
0x884dc83bd0cad61b75fe667d3d2785bc3aeb1079,24.69,Fish
0x69e2874fee7745e21242fca4e8d7254635f1cdf9,1.38,Fish
0x8592de000b607b9683f5babbe42dbd730e331c3a,0.68,Fish
0x5a16de71003f067182103de13f883867d378edd4,0.22,Fish
0x430433f042101e695451790661ccac3644d456e2,0.26,Fish
0xe061aa5c4bdbf9d046d414b71f532904279ec99a,1.76,Fish
0xcdf967778a4e0fae8e453564b9814d2904c8d160,0.14,Fish
0xc3ecf6462ec7a3baa4682387ffae77ffe208af0a,0.16,Fish
0x86b38e77f614d0264bc3c7967238b46fbf7e8c37,1.63,Fish
0xff3a5661b187ee25dd5fda1b8cb2b8858350cb3a,0.11,Fish
0x2ee8015f137915545a11f7153d9469ba6f566062,1.55,Fish
0xf990f25551232976c3670ce7ada75723ecff37a1,0.11,Fish
0x6f4f1e07dbb354d6ec401038948bef47edd564e6,1.28,Fish
0x2f859fd84fbc1bc65b528fa03da2c30b97c4ca38,0.45,Fish
0x68c993b9070949c5edbb30898f0497c6a635a952,0.29,Fish
0x4e67722883ad992182e83b79bf06a93972963cac,18538.73,Whales
0x19d0eadf9db9e89bf23973ae1dc89841757c0155,44.02,Fish
0xf72c4fae9b1a22f27dc94f4fac2417ed01d7532b,0.31,Fish
0xd699fded9946bc142cc5a8a6db500a6f4c35ccfa,0.89,Fish
0x094aa00e4f4d76a9e35e5a84631efdff3097d7e9,0.13,Fish
0x12e8209c55754828f9bb693fb58762faa681022e,0.57,Fish
0xf9cf8a5ce155b59795e0ab966565f3b1ca36976d,0.34,Fish
0x717b33b86f9a0c65cf2bc9292190a67d6f63206e,2.19,Fish
0x795a5a1eeead81e23f0659dc234c4eff8959f67c,27.82,Fish
0xa1688bc3805bff173b079c9d7475300e3a4a8238,0.77,Fish
0x16a710508574dc6bae8e587194a4389b71b80907,0.14,Fish
0x7063c9ab27540bf01765d0021d703128d44b566e,3.1,Fish
0xfaee0dc1c28a9edf94d03ecd5e63ff8f3f3d71f8,3.97,Fish
0xa8bc1a64ae1b7bf1b92ec5c91e4124afb42811ad,1.24,Fish
0x2ec356eaffbbfc54811a10724fa327b502ca59a3,0.83,Fish
0xf2197bc5eb5ce66ad77a49be3ec2f702dad8b08c,14.34,Fish
0xd809475fb6c4cabdacdf81a706aab7f9ab355547,11.11,Fish
0x229d730449da88ee385610614ff0a92ca10c116c,0.98,Fish
0xcce737fe99cf590d5e713111ad5e87772ce8c427,0.16,Fish
0xc037da938a0fd0bb80f4fb4b4b146131953e2492,0.15,Fish
0x44685b4343602d579ab6ba2a4356457aca1d315a,0.47,Fish
0x9d7f5b1e74e14654ecd6e13a50807b244de5367f,35.12,Fish
0x0308d8bf1ecd0a5b1cdcd37e109ef8ce9aa68ecf,0.98,Fish
0x4dfbec79e222ce4252c779f30e2ced32bd8a6773,6.68,Fish
0x634cd7bfef472ebc04194c3d2a5850999f605bd7,0.46,Fish
0x0620f25cb486f2a06d39e8e0d92318f76e6b3459,0.15,Fish
0xf84fb014aa6bfcbd6b1f1e64c297fc17c9091b20,0.11,Fish
0xad0358a0ca6b9a8f22e7ce851de78aefea87b3eb,1.67,Fish
0xce98a40e35c87571c5f6415596060fbb745c04ec,0.87,Fish
0x6d4ef06f51cc25e4deb16942cee98d50d053fcf4,0.22,Fish
0x53f47bb5ff4ef0e43d04c802ff5b2762020e58f4,0.67,Fish
0x56189ebb5d45c779ca336439c77f59b67e70ce97,2.36,Fish
0x3167f3caa509a96d96be5166898cecd9226a10cd,1.23,Fish
0x0d98b90d2f14729a10954bbcd76948959801ebc9,1.11,Fish
0xb0114277988da9fea823a820943c2774a9a2e725,7471.99,Whales
0x2467485c2a882647e972582b11672838d65aa61e,0.93,Fish
0x2c49ec6bab700c14e15cdaf58a77c4d131918bcb,2.79,Fish
0xf6647218d79c5b806c6f40ea9779777941a87c4f,80.49,Fish
0x327321e1711f10be217f2c924790d6d01fecaf51,2.73,Fish
0x3d0202e0bb6d8df16f1960329b30151d8b847d6b,0.6,Fish
0xfcc69e24ea0830570b14253e864afc70576ec6d1,0.17,Fish
0x223a5ff689a454da87bf02db280b16c92a49cf57,0.22,Fish
0x7212fd02439b530190f5060ef05a83907951e1b8,0.47,Fish
0xe750d4a1260ec39601b20bdbd6e7b48cb3232dec,0.45,Fish
0xed3a5963f302a3018907265acdb468226cb11113,0.63,Fish
0x36e1046122d25c4c4e486f95d9dea631c04759a4,0.33,Fish
0xecd5979a15697f78f735ed0bea9b9add941757a5,103.95,Shark
0x0513a5c70c79acd147da50e28481c60755fc8bee,1.23,Fish
0x6e5b5ce2f53c0bc458e078cf5f44dca64abac116,0.95,Fish
0x828bcf1e0108bc34d3ba483e05c6fb589c80b743,22.08,Fish
0xd38fc76b6b9f9fbac5070160b09482a22f9cf5fb,2.49,Fish
0x773e005cf66ae82067392b5bb4e4737e8da6f7fe,0.32,Fish
0x3bdfee69492a163c9e3c9fb3f50e854d35b3060a,45.81,Fish
0x7265edc431f638cf713385090518ce871cd818af,0.21,Fish
0xa719372ccce8785dec541e59af8bbc9e3c368ff1,13.31,Fish
0xd6973d0d7db64f6e9525cafdcd392e5dfacf9abc,39.84,Fish
0x2728128d461ebda9b3398165aa27f2c1f5f6684c,0.36,Fish
0x9a568bfeb8cb19e4bafcb57ee69498d57d9591ca,46.59,Fish
0x6c1e4687d1a081d34a07b2e49c09b1849a33da6d,0.94,Fish
0xeaf3633b83c042946a31a6bef244fb32ef806b4a,3.88,Fish
0xb2e8e40a7abe70253450fcedd6e4437acd246935,0.77,Fish
0xf91d8ef97d5c7c08d7453d1852168fc36aa95da4,48.98,Fish
0x03a2d7207717a7cb8dbac7bafd3b5e3cc6a16b56,0.22,Fish
0x05e716dc8373fd00ae5ab11d187b60141bef54bd,0.43,Fish
0x1a218f1d24ab8def5a23d1b38da5ce2c525b4ae4,0.48,Fish
0xc0c7381889a0dadd44ef23049b2f2b536cf6f0c8,1.69,Fish
0x759d4f6a374031b70596ed88122e30d1c42f340f,8.25,Fish
0xe0679b10c224654d717028fa155c531963649c76,99.19,Fish
0x1f3db20e330bca8c9ea20a055f546e38434b755f,4.74,Fish
0x2767d020ac8c8bd94d865300dbfa27d4e45bf738,3.56,Fish
0x4c2204d1cc946a89e3d520ff092032e915e2255b,3.52,Fish
0x53b52beb2b7c4174eb9ab60d5d897de9ec67296b,0.16,Fish
0x65dcc74dc5ec971a1646ece455372d016b8427b2,0.86,Fish
0x852278a188de08dffa2b99f45e976a97ddc12826,0.12,Fish
0xa9c81ad2846aa7748d4288fb371fb766f43df29c,4.54,Fish
0xc3ae2635636a8fe130ced09f0435ae7266605c4e,1.08,Fish
0x49dd258339fc8eb34c394a7c11f3f8182b7ea9a3,390.01,Shark
0x504678abf04822de30664e28a769f1433eeadd57,0.41,Fish
0x871168a6cdc2a405046a3e65ffac3b4661fff1ea,3.1,Fish
0xe4159b7dfcd986154c2a47e9cd6216c397f06ce8,4.56,Fish
0xcf99e04c7cc12360f4155f3e5a3d2e475ba14355,1.85,Fish
0xddc1e6f3bde454352c1d409cf425200b7daac34c,0.14,Fish
0xb493158392c37dc8cfc6bd22a88cef6c46dfa54e,0.16,Fish
0x08f59b33e1232f9ba16006ca5f86c00a58c24ba9,0.12,Fish
0xd5b505512452393ae9e9329a7774cdf784affc9d,0.14,Fish
0xd4ca62be6d8a05bce170af7c7769b3a1cac51f95,0.8,Fish
0x054136912c8f2cb901c738eb6057c4c6fe68a2d3,3.05,Fish
0xe5d9d96d84f230a4a425f71c65d37777337d2e30,2.76,Fish
0x29f04907f355797bc3bbf35ff0cab121dd5ba604,0.62,Fish
0x75e5d5adcb2c3f9724d1cc2f3dff1f1a13c8558f,3.99,Fish
0x9484b60797778e28b1a41e9608ff53d2c41b45fb,0.14,Fish
0x098d5b8c520ebfd654662bf372ead0918cbcd96c,4.38,Fish
0xb0439b8422ce630b3b897f8bf559e30df1a0c94d,5.05,Fish
0x7e0cb0370c8b2e267546166bac42c00ded212138,3.23,Fish
0xa1c740bbad320a59849b1705be4f849948823932,0.44,Fish
0x500088a2ee830b42221693d4f9ce15a481b96242,1.3,Fish
0x8d59e78b473cc7bd3c8ebb8672b5467d05526a3f,0.24,Fish
0x7ea9babedcab54f90873a5b5fdba8e998c68377c,0.27,Fish
0x7ae39ffadd6622f25629d58fdc76ecd47b1310b7,59.93,Fish
0x03e8c4cc41b544949a98d6417a26fe6d9837aa74,0.52,Fish
0x33370dde8ad10a00dbc1e4801b1bb37fd0d5d8eb,6.37,Fish
0xc9fc4ceb4ab54394cc998217de07977ee6ec7c72,0.16,Fish
0x49100c4e648c72bf73b2216d84f7683a500d23f4,0.31,Fish
0x61aef939dca66e15d139fff341d5357339e20c3e,0.58,Fish
0xcd17bd6f8ddc2915c30dcecd10c10cefa38d0b3c,0.53,Fish
0xebf8227ad6a9ea1b0d136da620900c109ce5b1da,3.5,Fish
0x7ace2046c386abd5c3a2213482ac406e76b64e5c,0.2,Fish
0x45d12c7c266635c4bcaca9d27c2b234974b94640,0.94,Fish
0x262042934b3b6ba345e9fe2e82720d951b4eebd7,1.67,Fish
0x1d70f4d40ffdff639a47add4d8c1ac3298c8b3dc,1,Fish
0x76cb7bd30d8352bc4e141be5318415a3a8911cb6,0.51,Fish
0xa95d3d4dc2e47ede2419aaeb50c97e00ca9bd08a,2.56,Fish
0x3894e2ef65fa4bceded61db4c4a0ee3a2648f964,2.72,Fish
0xc86b906d4d237dae2d87d2e11e08efe955b2fc13,0.17,Fish
0x47c92eae4196d020c180709f5f835aeea9574afc,0.81,Fish
0x2c7b76e0d485e7c32f6d9ca10f278368fcfffb06,0.12,Fish
0x7a5f4c00a94b54fb1362c9b3491a2c0c1c8e9b8e,0.34,Fish
0x1458e1a1e29404dc170bfaf4a72d88131469bc79,5.95,Fish
0xffed2d2e0793a724360372f88f69b5e4a30a0cda,0.18,Fish
0x11ca70c1b3b28b84a4b7eb8e237335bb5dbae08e,0.67,Fish
0xba9bac558229d8093cd2240dc4e58ab14a0c5846,0.17,Fish
0x80a75a816ef985789abf4131617d0201ed8eef52,230.1,Shark
0xbeb3df40595329ed59b88b07495ac2873ba0c73e,1,Fish
0xb0a3a2b60e969afd26561429aa4c1444c57e4411,301,Shark
0x33be848d3a5bd2911bb12c37721b54c06eecba0d,0.67,Fish
0x8396987e9ec4d90865a735e7c58b1f0d9a8c2898,0.88,Fish
0x2f6bc8d6e73867a2cfdc0e5f8c87677cf15dc860,0.18,Fish
0x4f629c1ede7d16c991ab6f4ecb494adf14e83f20,0.11,Fish
0x28f11e73f88474193ee911c724fb9d8c11b58ecd,53.61,Fish
0x62718d3fb7aa6d7e91e41f935e137ba418d70b02,8.3,Fish
0x89bbac077efe5015acbbd9dc21f1a8891c591951,0.31,Fish
0x1555d58220cffaf5518e5915d7247b518317b2d0,0.12,Fish
0x762ab58f4a203578af002de1346acc3981a946a4,0.27,Fish
0x6a9e30c5f64845fa11af100332135c7fd4a62673,0.53,Fish
0xfc1b1f6753809a83b6655a4b42629b4137d70dc2,0.48,Fish
0xe5aae7f906e328dd727510b72b5f06fb61253c73,1.19,Fish
0xbd8f09b3e170c9b5759054509367816cb50ecae0,1.2,Fish
0x8c7eda89b0271d45ab30cbb5b4d2cebf9c609727,0.27,Fish
0xa1d7e7f7140eae537ba91eda8c8f196096b99c79,0.73,Fish
0xd82b8e0f4c886de53249d61bb835f40bd0d082af,1.09,Fish
0x740f646f66abdd225968c7c8f5fd5185aa3259c3,1.92,Fish
0xc5980a7e7d7cdee98ece06e30a65a06927bd441b,1.09,Fish
0xeb2f7710640b4f4cd4c64b7cd2b53c658746b104,1.95,Fish
0xd5e82beee53cefd7c8061f754dc231c54e45e1e3,0.28,Fish
0xdd3310bd437833e154f3dac762ef892c527b410d,3.61,Fish
0xb35843ecfd30c1ae708c4fbc6590e661189da5e7,8.11,Fish
0x232a2575741a770fe4196e8a28d5acd163110fe3,13.14,Fish
0xede17266d6c4f60b74f2d7000e392924cd3a534b,13.16,Fish
0x8437fe497620270635d39c5e7a6beb22e57bf63a,0.44,Fish
0x20f9a0bda3bad6f0cbd8867ea725b650d795dd33,0.27,Fish
0x980dc9ff9fad58634fad0fb4cc842ddc0f24c671,0.28,Fish
0x4c4450b0da21bf531314fcd2ac1ceaac50cd7266,20.52,Fish
0xff9c6230dcab9266205c153f2ea4b1e445e8576c,0.65,Fish
0x88fc292e2c28babfd0ff6c7ea0cfd6988b8b7b07,1.59,Fish
0x4ec8a77ff0e739a331eb115554b8bfc9d05af52f,3.58,Fish
0xe56501896434df82e76950da03d88505f051ecb9,33.32,Fish
0xef2a0113c7914bfec88afd9fca78d2adde406f8f,0.16,Fish
0x9967647dc9f1060456d2d010cd870678faa645a0,0.33,Fish
0x4944872175858e7097e47288bb48730819ce8e86,0.89,Fish
0xe13015dc3c27eba3739586fefe8c19ee8a22682f,0.93,Fish
0xe428c1a3bf1b502a088b95a7760c5c6407ecb919,0.27,Fish
0xab0dc94f594d288e6ee416ed6438282074424211,6.07,Fish
0x38bbcb3c1fab5e8fed3e5a6e59ca68700efb92bb,0.17,Fish
0xf930ee28642e8b55e4fc3ae688b9bdefd4d9b920,0.2,Fish
0x09343036efe5d0c4c34047d7d6b615d1655ba623,62,Fish
0x4710189e75603642c87f5f08fe50505a591a6e49,0.29,Fish
0x65c14dfca454ac24b806a041fa075ef4d85461bc,5.21,Fish
0x84fd6450ce7e4c427507bd13c749d9028ffbb419,6.36,Fish
0x0fce2b95d9f1fe006ddff593ad9fde2ca349b799,3,Fish
0xec1352fbf83fee0bd71de3565b2a909241b95773,3.7,Fish
0xbe20ac7ef8377752921d2524920b7bd16d33ea3b,0.84,Fish
0x4102a9bdb37828bab269946dd250592670bbe812,0.65,Fish
0xcde1442f423e07cb0c5524e5bcc1b3c0ad1dfc0f,1,Fish
0xe8aabfa58f4261c8d1fb06925950c9008d68ab5a,0.6,Fish
0x6023122d0d5c3bf193c262674620b289dd2d45e4,4.79,Fish
0xf2535e8efd2b56ee628e48f36abf7c544250a365,0.71,Fish
0xe0c333e37a50e50a3dc622494e0223d4dcb96305,0.39,Fish
0x9df23a40e9060297a0fcc5fa782fddc2aa88218a,0.21,Fish
0xb6ca07287effc80e674950c13140245e7902707a,0.16,Fish
0x4c992ec2d310ad988ed4b6874f6c3ca129358cfa,0.51,Fish
0x4a8530133573c8b5470c8c552f1d1c261afe71c6,0.17,Fish
0x1b14c29b17c0db9483ddfdf4ebfbb4609f3c73fc,0.71,Fish
0xae6f5857d282058640b6a6959306fdf2b0c509dc,0.78,Fish
0x7348de596c9089e5df74055180a32dc8ad8b734a,5.75,Fish
0x089e6c5c6df71b2b25487663df701adf73a801c7,4.08,Fish
0x566ab9138a2227c02ddf20d6acd637b95ba97a0b,1.65,Fish
0xe52a6b520349cb148f0340b6f5e59b0295f04af1,1.06,Fish
0xa55ec2c4598f34f4842a5b546a9ae48c04167f22,7.58,Fish
0x619ffe16e6125b920c17102b0737d395fac676a5,18.51,Fish
0x8e3debffbe2081e5b2046dbed1a2e946f6d97251,12.24,Fish
0xecaf580600a782997ff266aa3595b834d7786365,96.6,Fish
0x22724d12be28128f7be71dd8b0d7e5168ee4ca9d,1.71,Fish
0xdde4df87c57ea9ca4cb7bcef0428003062d4912d,0.22,Fish
0x5b58f6c2ff1132d78e07a614534d4f1c2b79f1a7,6.09,Fish
0x70dbcec0561e3ee7f5a1deba2bc1997d0339e13f,4.62,Fish
0x6f6e4c7ab30df1b4143a17c34899556b7bdaad1a,0.33,Fish
0x736ca0bbeee2f6ef0496758229da83f21d666670,4,Fish
0x2a3a1672c21f1474b8f14df6bffad82e14397b12,25.68,Fish
0x396347e153f6889fc90ad188b331f4748b8fb60b,0.95,Fish
0xa52d682274d8e09e80c2c1fe5091eb56f5c0533c,0.82,Fish
0x3fcbf71fb633fdb40263916d31b041b91773cff9,0.25,Fish
0xace6ebc2e682fa8735438695e71d18d92073cd05,2.71,Fish
0x9a3bf21e500745346f6128be685e64e63be7958c,5.5,Fish
0xb7bcae366af992b5d68a3e35c88ab57d39b4eb67,0.14,Fish
0xa3b8c3ae7816c6050b244d94bdc789cdc45ba540,0.12,Fish
0x7798ccaf3e14901c61414594f810709ef8d2b451,0.19,Fish
0x99e2602996cee0577f81da2e177b9927f97d45cc,1.5,Fish
0xe26ecb39290ec0f764e1807dc4d2c663cbb406ca,2.2,Fish
0xb0115095f99f794f15753e1eed762631578b5268,1.6,Fish
0x862687bb8e303af9ae2bcde35e1be062e697d48d,11.97,Fish
0x94adac327bad6cc7aa4bbbea7078e84b9729cb57,1.21,Fish
0xf4c04e72fe0965974632ca1bab2e247cd86dc6e3,0.16,Fish
0x1a5f7f3b2315926f859faa5f3060547d5ced81fe,101.55,Shark
0xfeb20bfff5e8bde4cd5ae795bd588a83dc20173b,0.12,Fish
0xfcea5821145fe325d7d5ce1535ce632eb76d0426,0.36,Fish
0xc7ba9833d229c35ccfb16b8cbc603ae3b81f0883,1.26,Fish
0xff2a6ae71b57f0fb9a74db13457831b7a7929a13,0.34,Fish
0x8f453b2cb6c52e8f6fd259656f5e516119402250,0.13,Fish
0x1c2e24081cb1eec3a0c149f739bc90d62f74a211,0.46,Fish
0x756e3ee73f03e67046d29be903e909a8fee60036,1.57,Fish
0xb9dd33ac23e1e5c8d9a00d8d4e747007241e739f,0.19,Fish
0x6e4d83ddeab04b2092a3e878e93bb7ecad1bf131,0.45,Fish
0x8b9c65bd0e4f6a3acd9403d50afe39c298df817d,0.79,Fish
0x6b6f09761fc987f05b574385c4e3917c32dcd850,3.93,Fish
0x09cc496f65eb8ecf5fe7c6affe1e0ace2a60dd3c,0.44,Fish
0xbb3627849b898064db47040dfc11308603f8cd40,0.12,Fish
0xe5242d142d57694bc3dec1a489c23465e2e1f02f,18,Fish
0x09229f95832a15b2c95aee74cc753e48bbb7b875,0.28,Fish
0xc928198ce6ef7d634bfce78233470f4c480d2300,0.24,Fish
0xb245ee9914c9d82f65b75a458dbb0c3e09c7c300,7.2,Fish
0x68b34117587cf8a9f5a2714d19552dd71b5e728b,0.66,Fish
0xc2536c016adf1807471d0b78a6373760fa297d08,1.23,Fish
0xd0f6abe88bfa48a633cbca7b2ded0772ae1e82cd,0.13,Fish
0xe937ada7b7e8446a9b0aa5d69b14ccd20839f66d,0.22,Fish
0x86bfb7bd4b0c03d64f6ffa86667a2f67025d05bd,0.65,Fish
0xea08e0e318cfcf33cf9a091074b944f467a2dd83,4.15,Fish
0x39fcc8013cd3a7c2fc529598fbbba483e53a7ef0,0.15,Fish
0xe0b21885fd5870b5efbfe011fd41c13ee6e094f8,0.12,Fish
0x5c9ec67dc6dd3e5f9a0935b2a92bd60e665fd6a5,0.26,Fish
0x42ca62a80f840b042e1c8a63b3f36126308ecd7b,0.41,Fish
0xe53a59fcc1de0bfa522a0bf31f4fe5728f2e7180,339.63,Shark
0x0ff2cdc56177bd0830f72c9f01d2ed405b09af71,1.39,Fish
0x2d21be8a2db5ef22b794745e83e8b0c6b9cc157a,0.48,Fish
0xcd71c0e8a739b32c0abf4cce8703f63cc2e48acc,1.88,Fish
0x37a9548f02d3732fa1d70154473ec496a47b4c58,0.32,Fish
0xe280b886a00192dbbab60514e3863ee62b09fd00,0.2,Fish
0xc95591ac9f1acc023f9e6970e878a2b7ba9f370c,0.41,Fish
0x65a01766270d08276bc580321decd395f6bb99b8,0.83,Fish
0x02431bd7343c6192cac2781fd777d72d147197da,1.8,Fish
0x78209884a3a39d1daee29aa2b8aec2f0fbe48844,1.76,Fish
0xad877eda0edda6d632f558f3431ab6b1ef8a3f4b,0.11,Fish
0xc66a10486bf02588e4f67302b1a08f46dca08520,0.2,Fish
0xc0614fbe248a70828fc51f4a53980cce3f0ddbd1,0.25,Fish
0x9a078794da3171ea0798c6635f9e90aa69dba017,0.16,Fish
0x8dd13bc28a1b8a9e990675c1c191481704b2e413,0.89,Fish
0x120670189621907b7d3db55ed574ea47566b1289,0.36,Fish
0x9f8608ec3a341ab679484e97bb6ecb9331a2135d,2.52,Fish
0x43916e4866a43bc42c821f08901c93656a28b5d6,0.6,Fish
0xa2770b23f1f2e86201afa472da5b0737b7fd3d27,0.32,Fish
0xa567067215ecc38a900dfa451aed49f2ef4ad28c,0.5,Fish
0x7ddd85f941812adda607840503943e0e7277ac76,23.87,Fish
0xbfe8479d176d1555e9449893bfbfd2743f73abae,2.39,Fish
0x7faf4379cfd7288cddc6737b1ad108eeef810f15,1.36,Fish
0xde1ae1ca737c0fca30d1d1834f39172a2d743dc1,0.17,Fish
0xd3309928b19cdda0f9df4975eb6ab3d70cd81ede,1.54,Fish
0x1a74041393dfafb54829db5b655011063d2655c1,0.11,Fish
0x98ca4d7ecd290376ca0cf12959cd535fb53ec15f,1.39,Fish
0xa5bfe38988026701962ff23ed47e783d26411498,0.76,Fish
0xf3a715ffd4c1821e6ad5a728a40b775afb46ffa3,0.17,Fish
0x6e5c2e1f3f79aec1d50a5d4bc4b70b79dfe6750b,1,Fish
0x142a2605b85f6faafa186234137edbe2b4a0ec42,0.24,Fish
